영양소명,인삼(홍삼)
에너지,15
수분,96.2
단백질,0.33
지질,0.01
탄수화물,3.32
총 당류,1.19
총 식이섬유,0.9
칼슘,5
철,0.13
마그네슘,7
인,16
칼륨,68
나트륨,2
셀레늄,0
베타카로틴,0
비타민 B1,0
비타민 B2,0.017
엽산,0
비타민 C,0
비타민 E,0.07
