영양소명,토마토
에너지,19
수분,93.9
단백질,1.03
지질,0.18
탄수화물,4.26
총 당류,2.37
총 식이섬유,2.6
칼슘,9
철,0.19
마그네슘,10
인,29
칼륨,250
나트륨,2
셀레늄,0.26
베타카로틴,380
비타민 B1,0.013
비타민 B2,0.037
엽산,15
비타민 C,14.16
비타민 E,0.34
