영양소명,무
에너지,27
수분,91.6
단백질,1.5
지질,0.09
탄수화물,5.65
총 당류,1.93
총 식이섬유,2.7
칼슘,99
철,0.93
마그네슘,27
인,37
칼륨,350
나트륨,59
셀레늄,1.76
베타카로틴,671
비타민 B1,0.061
비타민 B2,0.158
엽산,55
비타민 C,4.31
비타민 E,0.09
