영양소명,마늘
에너지,123
수분,65.3
단백질,7.03
지질,0.12
탄수화물,26.65
총 당류,0.47
총 식이섬유,3.3
칼슘,8
철,0.82
마그네슘,23
인,124
칼륨,357
나트륨,2
셀레늄,4.31
베타카로틴,0
비타민 B1,0.118
비타민 B2,0.276
엽산,125
비타민 C,11.86
비타민 E,0.2
