영양소명,메밀
에너지,24
수분,94.6
단백질,1.9
지질,1.2
탄수화물,1.9
총 당류,0
총 식이섬유,3.6
칼슘,11
철,0.9
마그네슘,0
인,49
칼륨,106
나트륨,4
셀레늄,0
베타카로틴,18118
비타민 B1,0.29
비타민 B2,0.15
엽산,0
비타민 C,1
비타민 E,0
