영양소명,돼지감자
에너지,35
수분,81.4
단백질,2.18
지질,0.09
탄수화물,14.92
총 당류,6.37
총 식이섬유,1.8
칼슘,17
철,0.53
마그네슘,14
인,100
칼륨,561
나트륨,2
셀레늄,3.18
베타카로틴,0
비타민 B1,0.044
비타민 B2,0.088
엽산,39
비타민 C,1.34
비타민 E,0.11
