영양소명,비트
에너지,37
수분,88.3
단백질,1.7
지질,0
탄수화물,8.4
총 당류,0
총 식이섬유,0
칼슘,7
철,2.2
마그네슘,0
인,21
칼륨,406
나트륨,84
셀레늄,0
베타카로틴,0
비타민 B1,0.02
비타민 B2,0.04
엽산,0
비타민 C,23
비타민 E,0
