영양소명,생강
에너지,42
수분,88.2
단백질,0.97
지질,0.15
탄수화물,9.82
총 당류,0.45
총 식이섬유,2.6
칼슘,18
철,0.95
마그네슘,37
인,33
칼륨,337
나트륨,4
셀레늄,1.07
베타카로틴,19
비타민 B1,0
비타민 B2,0.052
엽산,0
비타민 C,1.5
비타민 E,0.51
