영양소명,양배추
에너지,22
수분,92.4
단백질,1.9
지질,0.1
탄수화물,4.7
총 당류,0
총 식이섬유,0
칼슘,12
철,0.6
마그네슘,0
인,40
칼륨,304
나트륨,28
셀레늄,0
베타카로틴,12
비타민 B1,0.07
비타민 B2,0.09
엽산,0
비타민 C,99
비타민 E,0
