영양소명,시금치
에너지,33
수분,89.4
단백질,3.1
지질,0.5
탄수화물,6
총 당류,0
총 식이섬유,0
칼슘,40
철,2.6
마그네슘,0
인,29
칼륨,502
나트륨,54
셀레늄,0
베타카로틴,2876
비타민 B1,0.12
비타민 B2,0.34
엽산,0
비타민 C,60
비타민 E,0
