영양소명,느타리버섯
에너지,18
수분,90.5
단백질,2.68
지질,0.08
탄수화물,6
총 당류,0.67
총 식이섬유,3.8
칼슘,0
철,0.66
마그네슘,14
인,104
칼륨,291
나트륨,1
셀레늄,1.8
베타카로틴,0
비타민 B1,0.15
비타민 B2,0.196
엽산,52
비타민 C,0.63
비타민 E,0.09
