영양소명,배
에너지,46
수분,87.1
단백질,0.3
지질,0.1
탄수화물,12.3
총 당류,0
총 식이섬유,1.8
칼슘,3
철,0.4
마그네슘,0
인,17
칼륨,100
나트륨,0
셀레늄,0
베타카로틴,0
비타민 B1,0.04
비타민 B2,0.02
엽산,0
비타민 C,0
비타민 E,0
