"","title","point","review"
"168","스케어리 스토리: 어둠의 속삭임","2","노잼"
"169","9/11","7","한물간 배우들의 진지한 연기"
"170","청년경찰","6","스피드하고 코믹한 버디무비다. 박서준 강하늘 두 배우의 케미와 훈훈함이 인상적이었다. 하지만 스토리에서 여성이라는 성을 다루는 데 있어 성인지 감수성이 부족하고 조선족에 대한 안 좋은 이미지를 더욱 강화시킨 건 조금 아쉬운 부분이다. 단순히 웃고 즐기는 오락영화라고 하기엔 불편한 지점들이 있지만 재미라는 부분만 놓고 본 다면 성공이라고 말할 수 있다고 본다."
"171","이웃집에 신이 산다","1","지루함. 프랑스영화종특인듯. 룩셈부르크랑 벨기에는 영화성자체가 없다고 보면됨. 우선 전개느려터짐. 작품성이라도 좋으면 참고 보지 작품성도 떨어짐 개연성은 처참함. 철학전공자로써 주제도 앞뒤가 안맞음 일단 무엇보다 이거보면 고구마 먹는 기분이 계속 되는데 빨리감기 하면서 봐야됨. 손가락책상신이 이영화 상징임 존나 볼것도없는데 질질 끔. 재미도없는 한명한명 이야기로 질질 끌지 심지어 무슨 멍때리는 것조차 질질끔. 툭하면 카메라보고 멍때리고 있는데 개승질남 모든 씬이 이런식의 연출로 이뤄짐. 아니 환타지코미디라길래 봤는데 시부례 이건 아니지 사람 호구로아나 이건 영화를 아예 모르는 영알못들이 주타켓이라고 보는게 나음. 한국 4망작이랑 시간낭비와 필름낭비의 수준이 비슷함"
"172","이웃집에 신이 산다","1","지루함. 프랑스영화종특인듯. 룩셈부르크랑 벨기에는 영화성자체가 없다고 보면됨. 우선 전개느려터짐. 작품성이라도 좋으면 참고 보지 작품성도 떨어짐 개연성은 처참함. 철학전공자로써 주제도 앞뒤가 안맞음 일단 무엇보다 이거보면 고구마 먹는 기분이 계속 되는데 빨리감기 하면서 봐야됨. 손가락책상신이 이영화 상징임 존나 볼것도없는데 질질 끔. 재미도없는 한명한명 이야기로 질질 끌지 심지어 무슨 멍때리는 것조차 질질끔. 툭하면 카메라보고 멍때리고 있는데 개승질남 모든 씬이 이런식의 연출로 이뤄짐. 아니 환타지코미디라길래 봤는데 시부례 이건 아니지 사람 호구로아나 이건 영화를 아예 모르는 영알못들이 주타켓이라고 보는게 나음. 한국 4망작이랑 시간낭비와 필름낭비의 수준이 비슷함"
"173","정직한 후보","10","실제상황이면 진짜웃길것같아요.선거철딱맞는 영화네요~재밌게잘봤습니다"
"174","원스 어폰 어 타임... 인 할리우드","6","티란티노 왈 : 내가 사랑하는 모든것. 근데 그게 감독 자신만의 취향이라 내게도 전부 통용되진 않는다."
"175","어거스트 러쉬","10","오직 음악만으로 가족을 찾는 영화"
"176","스쿨 오브 락","10","재밌긴한데 학교에서 락배우는게 아이들에게 색다른 경험같아 좋긴하지만 공부안해도  돼는겨?"
"177","사운드 오브 뮤직","10","동심적이고 아름다움"
"178","어벤져스: 엔드게임","8","이건 안볼이유도없고 최고그자체이다."
"179","투사부일체","10","진짜 당시 최고의 영화시리즈였다허나 현재는 여기 나온 선생님들처럼 했다간..."
"180","스폰지밥3D","8","팀워크에 대한 교훈을재대로 얻을수있다."
"181","콜 미 바이 유어 네임","10","연애세포가 살아나 버렸다."
"182","스케어리 스토리: 어둠의 속삭임","10","지금 뾰두락지 하나 생겼는데 영화속 뾰두락지 나오는거보고 진짜 무섭고 보는 내얼굴 일그러지고... 지금도 찌릿찌릿하다 영상미가 좋았던거 같다 풍경과 그시대 배경이 좋았음. 남자애들 둘이 좀 발암 유발했고 인도계 남주는 초반에 분위기 있었음. 막판으로 가면서 조금 지겹긴했는데 그렇게 쓰레기 영화는 아니라 생각됨. 초중반은 몰입됨. 2편으로 갈것같은 느낌인데 잘 나왔으면 좋겠다..."
"183","뺑반","1","영화보기 전 평점을 먼저 봐야하는 이유 : 영화관 1만원을 아끼기 위해"
"184","내셔널 트레져","6","???: ""보물은 사회에 환원되어야합니다."""
"185","레옹","10","진짜ㅜ 마음이 아려요 생각만하면"
"186","그대를 사랑합니다","10","가슴 먹먹하게 너무 많이 울었네요. 그대를 사랑합니다..."
"187","연애의 온도","10","영화 재밌게 잘 봤어요 도중에 끊지도 않고요배우들 연기도 좋고^^"
"188","엽문3: 최후의 대결","8","내가 오래 살았나보다...엽문 보고 질짰다..ㅠ우리엄마 죽을때 생각나서ㅜ"
"189","클래식","10","말이 필요없는 영화..."
"190","벼랑 위의 포뇨","10","사랑해 .. 귀여우ㅑ .. 흑"
