영양소명,도라지
에너지,56
수분,84.5
단백질,1.7
지질,0.11
탄수화물,13.08
총 당류,1.98
총 식이섬유,4.2
칼슘,40
철,0.32
마그네슘,22
인,67
칼륨,231
나트륨,3
셀레늄,1.79
베타카로틴,6
비타민 B1,0.007
비타민 B2,0.065
엽산,66
비타민 C,5.06
비타민 E,0.89
