영양소명,현미
에너지,374
수분,10.6
단백질,9.6
지질,4.6
탄수화물,73.3
총 당류,0
총 식이섬유,0
칼슘,4
철,2.8
마그네슘,0
인,327
칼륨,396
나트륨,26
셀레늄,0
베타카로틴,0
비타민 B1,0.26
비타민 B2,0.11
엽산,0
비타민 C,0
비타민 E,0
