영양소명,여주
에너지,22
수분,93.3
단백질,1.28
지질,0.36
탄수화물,4.48
총 당류,0.36
총 식이섬유,3.7
칼슘,15
철,0.15
마그네슘,11
인,27
칼륨,253
나트륨,0
셀레늄,0
베타카로틴,158
비타민 B1,0.157
비타민 B2,0.044
엽산,91
비타민 C,73.01
비타민 E,0
