영양소명,고구마
에너지,154
수분,60.6
단백질,1.01
지질,0.11
탄수화물,37.19
총 당류,9.83
총 식이섬유,2.7
칼슘,15
철,0.45
마그네슘,22
인,49
칼륨,370
나트륨,7
셀레늄,2.72
베타카로틴,32
비타민 B1,0.065
비타민 B2,0.027
엽산,90
비타민 C,7.12
비타민 E,0.24
