영양소명,연근
에너지,75
수분,80
단백질,1.63
지질,0.07
탄수화물,17.28
총 당류,1.81
총 식이섬유,3.3
칼슘,28
철,0.8
마그네슘,23
인,75
칼륨,478
나트륨,21
셀레늄,0.5
베타카로틴,0
비타민 B1,0.087
비타민 B2,0.124
엽산,7
비타민 C,28.35
비타민 E,0.34
