영양소명,양파
에너지,27
수분,92
단백질,0.95
지질,0.04
탄수화물,6.68
총 당류,5.74
총 식이섬유,1.7
칼슘,15
철,0.2
마그네슘,8
인,27
칼륨,145
나트륨,3
셀레늄,1.17
베타카로틴,2
비타민 B1,0.035
비타민 B2,0.011
엽산,11
비타민 C,5.88
비타민 E,0
