영양소명,브로콜리
에너지,32
수분,89.4
단백질,3.08
지질,0.2
탄수화물,6.32
총 당류,0.79
총 식이섬유,3.1
칼슘,39
철,0.8
마그네슘,23
인,68
칼륨,365
나트륨,3
셀레늄,0.78
베타카로틴,264
비타민 B1,0.033
비타민 B2,0.143
엽산,43
비타민 C,29.17
비타민 E,1.02
