"","newstitle","newspapername"
"70","코로나19 검사비 16만원 아끼려고..""나도 신천지"" 거짓고백","연합뉴스"
"71","대구시장 ""대통령 긴급명령권 발동 경증환자 병상 확보해 달라""(종합)","연합뉴스"
"72","[현장영상] 이만희 신천지 총회장 ""면목없다""며 엎드려 사죄","YTN"
"73","통합당 김용태 ""이 마당에 범투본 집회라니..그럴땝니까""","노컷뉴스"
"74","이재명 경기도지사 ""이만희 별장에 진입해 조사·진찰"" 지시","뉴스1"
"75","코로나19 통계 발표 달라져..""'0시' 기준으로 오전 10시 공개""","연합뉴스"
"76","[2보] 신천지 이만희 ""진심 사죄..적극 협조하고 있으나 면목없다""","연합뉴스"
"77","유치원·초중고 23일 개학하기로..사상초유 '3주 연기'(종합)","연합뉴스"
"78","'박근혜시계' 찬 이만희 두번 큰절..가평 연수원앞 아수라장(종합)","연합뉴스"
"79","밸런타인데이 음압병동, 공포·피로 다 녹여버린 '깜짝 택배'","뉴스1"
"80","초·중·고 개학 '최대 2주' 추가 연기 가능성..이르면 오늘 발표","뉴스1"
"81","통합당, 신천지에 선긋기..""여권, 신천지로 책임 떠넘겨"" 비판도","연합뉴스"
"82","광주 모자 확진자 주일예배 참석..양림교회 폐쇄","연합뉴스"
"83","포항의료원 간호사들 ""코로나19 환자 돌보느라 사직미뤘는데..""","연합뉴스"
"84","[팩트체크] ""비상약 준비"" '서울의대 졸업생 단톡방' 글 진짜일까?","JTBC"
"85","이만희 ""사죄한다""며 두번 큰절..""조용합시다"" 호통 퇴장(종합2보)","연합뉴스"
"86","개학연기 3주간 학원은 어쩌나..'채찍과 당근' 꺼내든 교육부","연합뉴스"
"87","이은재·김순례·민경욱 '막말 퇴장'..속 타는 다음 타자","노컷뉴스"
"88","코로나 재택근무 표정..대리 ""일할맛"" 과장 ""감옥"" 상무 ""심심""","중앙일보"
"89","정총리 ""우려했던 것보다 훨씬 심각한 상황..특단의 노력 필요""","연합뉴스"
"90","코로나 쇼크 대응에 30조 쏟아붓겠다는 정부..걸림돌 넷","이데일리"
"91","이만희 신천지 총회장 ""진심 사죄, 면목 없다"" 두번 큰절(종합)","연합뉴스"
"92","대구서 하루새 확진 환자 5명 숨져..사망자 22명(종합2보)","뉴스1"
"93","여덟 군데서 수업한 댄스 강사..일주일 새 77명 확진","SBS"
"94","정부 ""전국 초중고교 개학연기 추가 검토 중""(종합)","뉴시스"
"95","신천지 수사 온도차?..추미애 ""즉각"" vs 검찰 ""방역부터""","뉴시스"
"96","[영상] ""버텨주길..정부가 버팀목 될 것"" 울먹인 홍남기","YTN"
"97","'미국은 막는다' 韓 외교 총력전..코리아 모델 통할까","머니투데이"
"98","확진자 하루 새 586명 늘어..""1~2주가 분수령""","연합뉴스TV"
"99","우체국, 내일 마스크 70만매 판매..""가격 1매당 1천원""","연합뉴스"
"100","터키 국경 열자마자 1만3천명 몰려..유럽 '난민사태 재현' 공포","연합뉴스"
"101","""이만희 귓속말 여성, 김남희 원장 대신하는 내조 실세""","노컷뉴스"
"102","대구 일반 시민 감염, 신천지 앞서기 시작했다","뉴스1"
"103","[단독]신천지 봉사단체, 감염 퍼질때 전국 누비며 활동","노컷뉴스"
"104","""한국은 하루 1만건 하는데 우린 왜 못하나""..미 검사능력 도마","연합뉴스"
"105","식약처 ""감염 우려 안 높고 KF 마스크 없으면 '면 마스크' 사용 가능""","KBS"
"106","마스크 구매행렬에 낀 코로나19 확진자..취재진 신고로 강제이송","연합뉴스"
"107","문대통령 ""마스크 불편 국민께 송구..모든조직 24시간 긴급체제""(종합)","연합뉴스"
"108","한선교 ""문 대통령, 국민앞에 사과하라""..정의·민생당 '보이콧'(종합)","연합뉴스"
"109","코로나19보다 더 무서운 '소비실종'..꽃집·식당·백화점 모두 '찬바람만'","머니투데이"
"110","이만희, '코치' 대동하고도 횡설수설..신천지發 의혹 더 키웠다","노컷뉴스"
"111","도쿄올림픽조직위 ""서 있기 어려운 지진 나면 당일 경기 취소""","연합뉴스"
"112","'환자 근처도 안간다' 루머에..안철수 측 ""국민이 단죄해달라""(종합)","연합뉴스"
"113","""나 돌아갈래"" 코로나19로 제주 中불법체류자 수백명 탈출 행렬","연합뉴스"
